Species,Site,pExc,durExc,first.week,daysSuitable,cum.exp,IWV,AWV,MWV,VAR,RNG,IWI,AWA,MWA,AWM,MWM,AWI,Life.stage,Start,End,Thresh,year
Chinook,MS03,0,0,1900-01-01,81,1085.30875,0,0.0397644110275689,0.145757142857143,0.860505265038139,4.2,12.16,12.7398496240602,13.2057142857143,12.9542105263158,13.41,12.5205263157895,prespawn,2000-06-01,2000-10-15,20,2000
Chinook,MS08,0,0,1900-01-01,81,1097.55,0,0.0557607769423559,0.192480952380952,1.00792193906352,5.15,12.28,12.9377067669173,13.6042857142857,13.2018421052632,13.82,12.6715789473684,prespawn,2000-06-01,2000-10-15,20,2000
Chinook,MS09,0,0,1900-01-01,81,1103.11625,0,0.121942731829574,0.680123809523809,0.991532206240363,4.82,12.21,13.0714473684211,14.1542857142857,13.4282894736842,14.69,12.7230263157895,prespawn,2000-06-01,2000-10-15,20,2000
Chinook,MS15,0,0,1900-01-01,81,1091.30625,0,0.0204511278195488,0.114814285714286,0.722932058041414,3.57,12.32,12.7659022556391,12.9828571428571,12.9025,13.09,12.6131578947368,prespawn,2000-06-01,2000-10-15,20,2000
Chinook,MS18,0,0,1900-01-01,81,1091.30625,0,0.0204511278195488,0.114814285714286,0.722932058041414,3.57,12.32,12.7659022556391,12.9828571428571,12.9025,13.09,12.6131578947368,prespawn,2000-06-01,2000-10-15,20,2000
Chinook,MS27,0,0,1900-01-01,75,901.154166666671,0.00321428571428573,0.0192228571428572,0.0777952380952384,0.655183232798751,3.25,11.42,11.8354897959184,12.0642857142857,11.9985714285714,12.2,11.6885714285714,prespawn,2000-06-01,2000-10-15,20,2000
Chinook,MS22,0,0,1900-01-01,64,815.413333333338,0.00535714285714288,0.263279661016949,0.912328571428572,0.992713572204126,5.12,11.62,12.5450121065375,13.89,13.1257627118644,14.4,12.0277966101695,prespawn,2000-06-01,2000-10-15,20,2000
Chinook,MS30,0,0,1900-01-01,70,658.106666666667,0.0150999999999999,0.306770833333333,0.936728571428571,1.7382690011638,6.19,8.8,10.4334598214286,11.7842857142857,11.0659375,12.05,9.7853125,prespawn,2000-06-01,2000-10-15,20,2000
Chinook,FP09,0,0,1900-01-01,98,1393.83125,0.0107142857142856,0.12712867494824,0.398466666666666,0.834842557932794,5.31,13.22,14.0842701863354,14.9314285714286,14.5048913043478,15.25,13.6659782608696,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,MS20,0,0,1900-01-01,98,1298.40916666665,0,0.672667753623188,2.0237619047619,1.95056535399177,7.51,11.51,13.0895031055901,15.0928571428571,14.0163043478261,15.57,12.1697826086957,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,MS26,0,0,1900-01-01,98,1271.04749999999,0.00321428571428573,0.189084368530021,0.785095238095238,0.664305360313702,5.62,11.51,12.5065683229814,13.5457142857143,13.0216304347826,13.99,12.085652173913,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,FP08,0,0,1900-01-01,96,1370.50833333333,0.0107142857142858,0.146604761904762,0.575114285714286,1.41429605783715,6.1,13.36,14.2601412872841,15.4457142857143,14.7086813186813,15.72,13.8146153846154,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,FP12,0,0,1900-01-01,96,1370.50833333333,0.0107142857142858,0.146604761904762,0.575114285714286,1.41429605783715,6.1,13.36,14.2601412872841,15.4457142857143,14.7086813186813,15.72,13.8146153846154,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,MS11,0,0,1900-01-01,96,1390.62583333333,0.00642857142857146,0.211862166405023,0.704023809523809,1.49485321921733,6.08,13.49,14.6142386185243,15.8857142857143,15.1617582417582,16.16,14.060989010989,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,MS12,0,0,1900-01-01,96,1363.70541666666,0.00642857142857146,0.145835112506541,0.605795238095239,1.26336719000224,5.78,13.28,14.2079277864992,15.35,14.6364835164835,15.62,13.7779120879121,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,MS16,0,0,1900-01-01,97,1381.81458333334,0,0.0441360544217687,0.169528571428571,1.15381450567227,5.46,13.59,14.2094348508634,14.8342857142857,14.4483516483517,14.99,13.9747252747253,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,MS17,0,0,1900-01-01,96,1364.43375000002,0,0.0340851909994767,0.165680952380952,1.09044706591498,4.98,13.57,14.0974725274725,14.49,14.2912087912088,14.65,13.9095604395604,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,FP03,0,0,1900-01-01,8,110.975833333333,0.0290142857142858,0.0362349206349208,0.0425952380952382,1.40487655552494,6.4,13.02,13.3204761904762,13.3714285714286,13.48,13.48,13.02,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,FP06,0.0510948905109489,0.833333333333333,2001-08-06,93,1408.0125,0.0121904761904762,0.783460052910053,5.05821428571428,3.80847819184869,11.55,13.16,14.8558888888889,17.7885714285714,15.842,18.52,13.9628888888889,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,MS02,0,0,1900-01-01,95,1355.43750000001,0,0.233222063492064,0.983657142857142,1.27060807324409,5.95,13.13,14.2090317460317,15.7171428571429,14.731,16.1,13.6865555555556,prespawn,2001-06-01,2001-10-15,20,2001
Chinook,MS07,0.0948905109489051,1.45833333333333,2001-08-08,94,1399.16333333333,0.00321428571428573,0.960461375661376,4.52479047619048,3.49772467064823,12.17,13.16,14.7525396825397,17.8171428571429,15.7821111111111,18.85,13.8532222222222,prespawn,2001-06-01,2001-10-15,20,2001
